geonameid,name,lat,lon,region,department,population,settlement_morpheme,naming_language,religious_element,ethnonym,ethnonym_stem,split_ordinal,patronym,patronym_group,eco_term,eco_kind,name_reuse_count
2252887,Diakoulané,14.88634,-12.55937,Tambacounda,Bakel,0,,,,,,,,,,,1
2252885,Diakounda,12.96,-15.95944,Sedhiou,Bounkiling,0,kounda,Mandinka,,,,,,,,,1
2252884,Diakoundaré,13.86667,-14.78333,Kaffrine,Koungheul,0,,,,,,,,,,,1
2252881,Diakoye,13.10985,-16.23981,Ziguinchor,Bignona,0,,,,,,,,,,,2
2252883,Diakoye,12.91667,-16.35,Ziguinchor,Bignona,0,,,,,,,,,,,2
2252880,Diakoye Banga,12.99694,-16.21917,Ziguinchor,Bignona,0,,,,,,,,,,,1
13658804,Diakoye Batong,13.01707,-16.22838,Ziguinchor,Bignona,0,,,,,,,,,,,1
2252882,Diakoye Komboli,13.10951,-16.28964,Ziguinchor,Bignona,0,,,,,,,,,,,1
2595460,Diaksaw,14.60648,-17.09544,Thies,Mbour,0,,,,,,,,,,,2
2595782,Diaksaw,14.75287,-17.36744,Dakar,Pikine,0,,,,,,,,,,,2
2595869,Diaksaw Peul,14.77574,-17.18438,Dakar,Rufisque,0,,,,Peul (Fulani),Diaksaw,,,,,,1
2252906,Diakène,12.44278,-16.62944,Ziguinchor,Oussouye,0,,,,,,,,,,,1
2252904,Diakène Ouolof,12.45639,-16.64,Ziguinchor,Oussouye,0,,,,Wolof,Diakène,,,,,,1
2252907,Diaké Samba,14.27453,-15.74502,Kaffrine,Birkelane,0,,,,,,,,,,,1
2595695,Dial Diop,14.66,-17.44028,Dakar,Dakar,0,,,,,,,Diop,Wolof,,,1
6645339,Dial Foulbé,16.11099,-13.51623,Matam,Matam,0,,,,,,,,,,,1
2252877,Dial Soubalbé,16.1158,-13.51384,Matam,Matam,0,,,,,,,,,,,1
2252874,Diala,13.52419,-11.96035,Tambacounda,Bakel,0,,,,,,,,,,,1
6648034,Diala Amadou,14.26332,-12.212,Tambacounda,Bakel,0,,,,,,,,,,,1
2252857,Diala Maka,13.36667,-13.11667,Tambacounda,Tambacounda,0,,,maka,,,,,,,,1
2252872,Dialaba,13.06667,-15.4,Sedhiou,Bounkiling,0,,,,,,,,,,,1
2252867,Dialaba Deux,14.00597,-16.31699,Fatick,Foundiougne,0,,,,,,2,,,,,1
2252869,Dialaba Diéri,13.23333,-15.26667,Kolda,Medina Yoroufoula,0,,,,,,,,,,,1
2252871,Dialaba Un,14.00173,-16.31289,Fatick,Foundiougne,0,,,,,,1,,,,,1
