geonameid,name,asciiname,lat,lon,feature_code,admin1_code,admin2_code,population,lang_guess,name_root,name_dupe_count
2250703,Katipeu,Katipeu,13.02701,-16.39591,PPL,12,,0,,,1
2250702,Katipo,Katipo,12.51667,-16.2,PPL,12,,0,,,1
2250701,Katob,Katob,13.81667,-14.08333,PPL,05,,0,,,1
2250700,Katonfara,Katonfara,13.25,-14.96667,PPL,11,,0,,,1
2250699,Katoté,Katote,15.80427,-13.4698,PPL,15,,0,,,1
2250698,Katoudié,Katoudie,12.95556,-16.34139,PPL,12,,0,,,1
2250696,Katounor,Katounor,13.12598,-16.25999,PPL,12,,0,,,1
2250693,Kavel,Kavel,14.71667,-13.58333,PPL,15,,0,,,1
2250691,Kavél,Kavel,15.81249,-13.49521,PPL,15,,0,,,1
2250692,Kavél Kangal,Kavel Kangal,15.80778,-13.4959,PPL,15,,0,,,1
2250688,Kawal,Kawal,14.9323,-12.66513,PPL,15,,0,,,1
2250687,Kawané,Kawane,13.38333,-13.38333,PPL,05,,0,,,1
2250689,Kawil,Kawil,14.05307,-16.04846,PPL,10,,0,,,1
13658145,Kawitiane,Kawitiane,13.93385,-16.06107,PPL,10,2250807,0,,,1
13505548,Kawsara Fal,KawsaraFal,14.89697,-16.00669,PPL,03,2248699,0,,,1
2250799,Kawssa,Kawssa,14.02075,-16.23149,PPL,10,,0,,,1
2250798,Kawssara,Kawssara,14.90408,-15.99466,PPL,03,,0,,,1
13554044,Kay Wali,KayWali,14.44096,-15.94168,PPL,09,2251492,0,,,1
2250683,Kaya Koussan,Kaya Koussan,13.66667,-14.06667,PPL,05,,0,,,1
2250681,Kayan,Kayan,13.30963,-12.3215,PPL,05,,0,,,1
2250677,Kayar,Kayar,14.91893,-17.11978,PPL,07,,23585,,,1
2250676,Kaye Alouki,KayeAlouki,14.16112,-15.60516,PPL,16,,0,,,1
2250675,Kaye Boubou,Kaye Boubou,14.25,-14.85,PPL,16,,0,,,1
2250975,Kayi,Kayi,14.37785,-15.99557,PPL,10,,0,,,1
2250981,Kayi Alouki,KayiAlouki,14.29301,-15.67721,PPL,16,,0,,,1
13554060,Kayi Gnibi,KayiGnibi,14.34985,-15.65864,PPL,16,2251008,0,,,1
2250671,Kaymor,Kaymor,13.76667,-15.6,PPL,10,,0,,,1
2250674,Kayol,Kayol,14.7595,-17.09719,PPL,07,,0,,,1
2250673,Kayélo,Kayelo,12.82472,-16.74917,PPL,12,,0,,,1
2250669,Kazamanse,Kazamanse,14.51667,-16.83333,PPL,07,,0,,,1
2251015,Kaèl,Kael,14.71315,-15.90523,PPL,03,,0,,,4
2251016,Kaèl,Kael,13.75,-14.73333,PPL,05,,0,,,4
2251017,Kaèl,Kael,13.13333,-14.13333,PPL,11,,0,,,4
2251018,Kaèl,Kael,12.91667,-13.68333,PPL,11,,0,,,4
2251014,Kaèl Mbobo,KaelMbobo,14.67811,-15.78484,PPL,09,,0,,,1
2250980,Kaïbé,Kaibe,15.53333,-16.21667,PPL,13,,0,,,1
2250979,Kaïfara,Kaifara,13.86667,-15.45,PPL,16,,0,,,1
2250978,Kaïga,Kaiga,14.58333,-15.8,PPL,09,,0,,,1
2250976,Kaïlen,Kailen,12.55,-16.33333,PPL,12,,0,,,1
13658761,Kaïlo,Kailo,13.15087,-16.04998,PPL,12,2253903,0,,,1
2250974,Kaïlou,Kailou,12.46667,-16.38333,PPL,12,,0,,,1
13658770,Kaïlédone,Kailedone,13.13592,-16.11204,PPL,12,2253903,0,,,1
13658756,Kaïnga,Kainga,13.14989,-16.20826,PPL,12,2253903,0,,,1
2250972,Kaïpongal,Kaipongal,14.28333,-13.86667,PPL,05,,0,,,1
13551546,Kaïré,Kaire,14.89801,-15.60151,PPL,13,2249283,0,,,1
2250672,Kaïré Al,KaireAl,14.76738,-16.71429,PPL,07,,0,,,1
13504762,Kaïré Mapaté,KaireMapate,14.92879,-16.64775,PPL,03,2254315,0,,,1
13504701,Kaône,Kaone,14.97419,-16.56737,PPL,03,2254315,0,,,1
2250668,Kbombole,Kbombole,14.76667,-16.7,PPL,07,,15587,,,1
2250655,Kebeum,Kebeum,13.03333,-15.91667,PPL,18,,0,,,1
2250654,Kebiline,Kebiline,12.95,-16.58333,PPL,12,,0,,,1
